Comment,Designator,Footprint,LCSC Part #
1uF,C1,Capacitor_SMD:C_0805_2012Metric,C28323
0.1uF,C2-4,Capacitor_SMD:C_0805_2012Metric,C49678
10uF,C5,Capacitor_SMD:C_0805_2012Metric,C15850
22pF,"C6, C7",Capacitor_SMD:C_0805_2012Metric,C1804
SOD-123,D1-42,Diode_SMD:D_SOD-123,C81598
500mA,F1,Fuse:Fuse_1206_3216Metric,C163133
Q_NPN_BCE,Q1,Package_TO_SOT_SMD:SOT-223,C192156
470R,R1-42,Resistor_SMD:R_0805_2012Metric,C17710
22R,"R44,R45",Resistor_SMD:R_0805_2012Metric,C17561
10K,"R43, R46",Resistor_SMD:R_0805_2012Metric,C17414
1K5,NPNR1,Resistor_SMD:R_0805_2012Metric,C4310
SW_Push,SW1,random-keyboard-parts:SKQG-1155865,C318884
ATmega32U4-AU,U1,Package_QFP:TQFP-44_10x10mm_P0.8mm,C44854
16MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
