Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,151.9,-117.4,135,top
C2,0.1uF,C_0805_2012Metric,150.75,-141,45,top
C3,0.1uF,C_0805_2012Metric,138.103493,-132.978532,135,top
C4,0.1uF,C_0805_2012Metric,157.8,-134.1,225,top
C5,10uF,C_0805_2012Metric,149.35,-114.9,315,top
C6,22pF,C_0805_2012Metric,134.618233,-123.615872,135,top
C7,22pF,C_0805_2012Metric,142.455367,-115.778739,135,top
D1,SOD-123,D_SOD-123,48.776363,-65.477856,75,top
D2,SOD-123,D_SOD-123,67.126363,-70.387856,75,top
D3,SOD-123,D_SOD-123,88.586363,-63.717856,75,top
D4,SOD-123,D_SOD-123,108.486363,-62.837856,75,top
D5,SOD-123,D_SOD-123,125.156363,-74.037856,75,top
D6,SOD-123,D_SOD-123,142.866363,-81.367856,75,top
D7,SOD-123,D_SOD-123,172.348726,-76.450294,105,top
D8,SOD-123,D_SOD-123,190.058726,-69.120294,105,top
D9,SOD-123,D_SOD-123,206.728726,-57.920294,105,top
D10,SOD-123,D_SOD-123,226.628726,-58.800294,105,top
D11,SOD-123,D_SOD-123,248.088726,-65.470294,105,top
D12,SOD-123,D_SOD-123,266.438726,-60.560294,105,top
D13,SOD-123,D_SOD-123,43.856363,-83.827856,75,top
D14,SOD-123,D_SOD-123,62.206363,-88.747856,75,top
D15,SOD-123,D_SOD-123,83.66363,-82.067856,75,top
D16,SOD-123,D_SOD-123,103.576363,-81.197856,75,top
D17,SOD-123,D_SOD-123,120.246363,-92.387856,75,top
D18,SOD-123,D_SOD-123,137.946363,-99.717856,75,top
D19,SOD-123,D_SOD-123,177.268726,-94.800294,105,top
D20,SOD-123,D_SOD-123,194.968726,-87.470294,105,top
D21,SOD-123,D_SOD-123,211.638726,-76.280294,105,top
D22,SOD-123,D_SOD-123,231.548726,-77.150294,105,top
D23,SOD-123,D_SOD-123,253.008726,-83.830294,105,top
D24,SOD-123,D_SOD-123,271.358726,-78.910294,105,top
D25,SOD-123,D_SOD-123,38.936363,-102.117856,75,top
D26,SOD-123,D_SOD-123,57.296363,-107.097856,75,top
D27,SOD-123,D_SOD-123,78.746363,-100.427856,75,top
D28,SOD-123,D_SOD-123,98.656363,-99.547856,75,top
D29,SOD-123,D_SOD-123,116.205,-107.442,75,top
D30,SOD-123,D_SOD-123,125.73,-107.315,345,top
D31,SOD-123,D_SOD-123,182.188726,-113.160294,105,top
D32,SOD-123,D_SOD-123,199.888726,-105.820294,105,top
D33,SOD-123,D_SOD-123,216.558726,-94.630294,105,top
D34,SOD-123,D_SOD-123,236.468726,-95.510294,105,top
D35,SOD-123,D_SOD-123,257.918726,-102.180294,105,top
D36,SOD-123,D_SOD-123,276.278726,-97.260294,105,top
D37,SOD-123,D_SOD-123,100.976363,-127.597856,75,top
D38,SOD-123,D_SOD-123,120.33384,-137.75058,60,top
D39,SOD-123,D_SOD-123,136.16724,-152.79231,45,top
D40,SOD-123,D_SOD-123,175.033252,-140.198005,135,top
D41,SOD-123,D_SOD-123,193.98569,-128.703753,120,top
D42,SOD-123,D_SOD-123,214.238726,-122.680294,105,top
F1,500mA,Fuse_1206_3216Metric,142.85,-60.4,90,top
NPNR1,1.5k,R_0805_2012Metric,221.742,-115.2525,180,top
Q1,Q_NPN_BCE,Trans_SOT-223-4,232.537,-114.7445,180,top
R1,470,R_0805_2012Metric,47.48143,-70.307486,75,top
R2,470,R_0805_2012Metric,65.83143,-75.217486,75,top
R3,470,R_0805_2012Metric,87.29143,-68.547486,75,top
R4,470,R_0805_2012Metric,107.19143,-67.667486,75,top
R5,470,R_0805_2012Metric,123.86143,-78.867486,75,top
R6,470,R_0805_2012Metric,141.57143,-86.197486,75,top
R7,470,R_0805_2012Metric,173.642821,-81.279924,105,top
R8,470,R_0805_2012Metric,191.352821,-73.949924,105,top
R9,470,R_0805_2012Metric,208.022821,-62.749924,105,top
R10,470,R_0805_2012Metric,227.922821,-63.629924,105,top
R11,470,R_0805_2012Metric,249.382821,-70.299924,105,top
R12,470,R_0805_2012Metric,267.732821,-65.389924,105,top
R13,470,R_0805_2012Metric,42.56143,-88.657486,75,top
R14,470,R_0805_2012Metric,60.91143,-93.577486,75,top
R15,470,R_0805_2012Metric,82.37143,-86.897486,75,top
R16,470,R_0805_2012Metric,102.28143,-86.027486,75,top
R17,470,R_0805_2012Metric,118.952143,-97.217486,75,top
R18,470,R_0805_2012Metric,136.65143,-104.547486,75,top
R19,470,R_0805_2012Metric,178.562821,-99.629924,105,top
R20,470,R_0805_2012Metric,196.262821,-92.299924,105,top
R21,470,R_0805_2012Metric,212.932821,-81.109924,105,top
R22,470,R_0805_2012Metric,232.842821,-81.979924,105,top
R23,470,R_0805_2012Metric,254.302821,-88.659924,105,top
R24,470,R_0805_2012Metric,272.652821,-83.739924,105,top
R25,470,R_0805_2012Metric,37.64143,-107.007486,75,top
R26,470,R_0805_2012Metric,56.00143,-111.927486,75,top
R27,470,R_0805_2012Metric,77.45143,-105.257486,75,top
R28,470,R_0805_2012Metric,97.36143,-104.377486,75,top
R29,470,R_0805_2012Metric,114.03143,-115.567486,75,top
R30,470,R_0805_2012Metric,120.142,-125.095,165,top
R31,470,R_0805_2012Metric,183.482821,-117.989924,105,top
R32,470,R_0805_2012Metric,201.182821,-110.649924,105,top
R33,470,R_0805_2012Metric,217.852821,-99.459924,105,top
R34,470,R_0805_2012Metric,237.762821,-100.339924,105,top
R35,470,R_0805_2012Metric,259.212821,-107.009924,105,top
R36,470,R_0805_2012Metric,277.572821,-102.089924,105,top
R37,470,R_0805_2012Metric,99.68143,-132.427486,75,top
